"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","concerttours.constraints","/commerce_123/bin/custom/concerttours/src/concerttours/constraints/NotLoremIpsumValidator.java","3","16","When doing a String.toLowerCase()/toUpperCase() call, use a Locale","Error Prone","UseLocaleWithCaseConversions"
"1","concerttours.controller","/commerce_123/bin/custom/concerttours/src/concerttours/controller/BandController.java","3","21","Avoid the use of value in annotations when its the only element","Code Style","UnnecessaryAnnotationValueElement"
"2","concerttours.controller","/commerce_123/bin/custom/concerttours/src/concerttours/controller/BandController.java","3","28","Avoid the use of value in annotations when its the only element","Code Style","UnnecessaryAnnotationValueElement"
"1","concerttours.controller","/commerce_123/bin/custom/concerttours/src/concerttours/controller/TourController.java","3","20","Avoid the use of value in annotations when its the only element","Code Style","UnnecessaryAnnotationValueElement"
"1","concerttours.facades","/commerce_123/bin/custom/concerttours/src/concerttours/facades/TourFacade.java","1","6","Final parameter in abstract method","Code Style","FinalParameterInAbstractMethod"
"1","concerttours.events","/commerce_123/bin/custom/concerttours/src/concerttours/events/BandAlbumSalesEvent.java","4","38","Useless parentheses.","Code Style","UselessParentheses"
"1","concerttours.daos.impl","/commerce_123/bin/custom/concerttours/src/concerttours/daos/impl/DefaultBandDAO.java","3","10","Avoid the use of value in annotations when its the only element","Code Style","UnnecessaryAnnotationValueElement"
"1","concerttours.daos.impl","/commerce_123/bin/custom/concerttours/src/concerttours/daos/impl/DefaultNewsDAO.java","3","15","Avoid the use of value in annotations when its the only element","Code Style","UnnecessaryAnnotationValueElement"
"1","concerttours.setup","/commerce_123/bin/custom/concerttours/src/concerttours/setup/ConcerttoursSystemSetup.java","3","32","Avoid unused private methods such as 'getImageStream()'.","Best Practices","UnusedPrivateMethod"
"1","concerttours.constraints","/commerce_123/bin/custom/concerttours/testsrc/concerttours/constraints/NotLoremIpsumConstraintTest.java","3","39","Substitute calls to size() == 0 (or size() != 0, size() > 0, size() < 1) with calls to isEmpty()","Best Practices","UseCollectionIsEmpty"
"1","concerttours.jalo","/commerce_123/bin/custom/concerttours/testsrc/concerttours/jalo/ConcerttoursTest.java","4","7","Unused import 'org.junit.Assert.assertTrue'","Code Style","UnnecessaryImport"
"1","concerttours.facades.impl","/commerce_123/bin/custom/concerttours/testsrc/concerttours/facades/impl/DefaultBandFacadeIntegrationWithPropertiesTest.java","4","4","Unnecessary import from the java.lang package 'java.lang.InterruptedException'","Code Style","UnnecessaryImport"
"2","concerttours.facades.impl","/commerce_123/bin/custom/concerttours/testsrc/concerttours/facades/impl/DefaultBandFacadeIntegrationWithPropertiesTest.java","3","46","Substitute calls to size() == 0 (or size() != 0, size() > 0, size() < 1) with calls to isEmpty()","Best Practices","UseCollectionIsEmpty"
