Package,File,Priority,Line,Description,Rule set,Rule
"",/b2cretailstore/bin/custom/b2cretailstorecockpits/extensioninfo.xml,1,18,A extension info file is referencing a deprecated SAP Commerce extension.,Deprecated extensions in ExtensionInfoFile,DeprecatedExtensionInExtensionInfo
"",/b2cretailstore/bin/custom/b2cretailstorecockpits/extensioninfo.xml,1,19,A extension info file is referencing a deprecated SAP Commerce extension.,Deprecated extensions in ExtensionInfoFile,DeprecatedExtensionInExtensionInfo
"",/b2cretailstore/bin/custom/b2cretailstorestorefront/extensioninfo.xml,1,15,A extension info file is referencing a deprecated SAP Commerce extension.,Deprecated extensions in ExtensionInfoFile,DeprecatedExtensionInExtensionInfo
"",/b2cretailstore/bin/custom/b2cretailstorestorefront/extensioninfo.xml,1,22,A extension info file is referencing a deprecated SAP Commerce extension.,Deprecated extensions in ExtensionInfoFile,DeprecatedExtensionInExtensionInfo
"",/b2cretailstore/bin/custom/b2cretailstorestorefront/extensioninfo.xml,1,25,A extension info file is referencing a deprecated SAP Commerce extension.,Deprecated extensions in ExtensionInfoFile,DeprecatedExtensionInExtensionInfo
"",/b2cretailstore/bin/custom/googletagmanager/extensioninfo.xml,1,8,A extension info file is referencing a deprecated SAP Commerce extension.,Deprecated extensions in ExtensionInfoFile,DeprecatedExtensionInExtensionInfo
"",/b2cretailstore/build/config-dev/localextensions.xml,1,26,A local extensions file is referencing a deprecated SAP Commerce extension.,Deprecated extensions in LocalExtensions,DeprecatedExtensionInLocalExtensions
"",/b2cretailstore/build/config-dev/localextensions.xml,1,36,A local extensions file is referencing a deprecated SAP Commerce extension.,Deprecated extensions in LocalExtensions,DeprecatedExtensionInLocalExtensions
"",/b2cretailstore/build/config-dev/localextensions.xml,1,37,A local extensions file is referencing a deprecated SAP Commerce extension.,Deprecated extensions in LocalExtensions,DeprecatedExtensionInLocalExtensions
"",/b2cretailstore/build/config-dev/localextensions.xml,1,48,A local extensions file is referencing a deprecated SAP Commerce extension.,Deprecated extensions in LocalExtensions,DeprecatedExtensionInLocalExtensions
"",/b2cretailstore/build/config-integ/localextensions.xml,1,28,A local extensions file is referencing a deprecated SAP Commerce extension.,Deprecated extensions in LocalExtensions,DeprecatedExtensionInLocalExtensions
"",/b2cretailstore/build/config-integ/localextensions.xml,1,38,A local extensions file is referencing a deprecated SAP Commerce extension.,Deprecated extensions in LocalExtensions,DeprecatedExtensionInLocalExtensions
"",/b2cretailstore/build/config-integ/localextensions.xml,1,39,A local extensions file is referencing a deprecated SAP Commerce extension.,Deprecated extensions in LocalExtensions,DeprecatedExtensionInLocalExtensions
"",/b2cretailstore/build/config-integ/localextensions.xml,1,50,A local extensions file is referencing a deprecated SAP Commerce extension.,Deprecated extensions in LocalExtensions,DeprecatedExtensionInLocalExtensions
"",/b2cretailstore/build/config-junit/localextensions.xml,1,27,A local extensions file is referencing a deprecated SAP Commerce extension.,Deprecated extensions in LocalExtensions,DeprecatedExtensionInLocalExtensions
"",/b2cretailstore/build/config-junit/localextensions.xml,1,37,A local extensions file is referencing a deprecated SAP Commerce extension.,Deprecated extensions in LocalExtensions,DeprecatedExtensionInLocalExtensions
"",/b2cretailstore/build/config-junit/localextensions.xml,1,38,A local extensions file is referencing a deprecated SAP Commerce extension.,Deprecated extensions in LocalExtensions,DeprecatedExtensionInLocalExtensions
"",/b2cretailstore/build/config-junit/localextensions.xml,1,49,A local extensions file is referencing a deprecated SAP Commerce extension.,Deprecated extensions in LocalExtensions,DeprecatedExtensionInLocalExtensions
"",/b2cretailstore/build/config-pre-dev/localextensions.xml,1,14,A local extensions file is referencing a deprecated SAP Commerce extension.,Deprecated extensions in LocalExtensions,DeprecatedExtensionInLocalExtensions
"",/b2cretailstore/build/config-pre-dev/localextensions.xml,1,15,A local extensions file is referencing a deprecated SAP Commerce extension.,Deprecated extensions in LocalExtensions,DeprecatedExtensionInLocalExtensions
"",/b2cretailstore/build/config-pre-dev/localextensions.xml,1,17,A local extensions file is referencing a deprecated SAP Commerce extension.,Deprecated extensions in LocalExtensions,DeprecatedExtensionInLocalExtensions
"",/b2cretailstore/build/config-pre-dev/localextensions.xml,1,18,A local extensions file is referencing a deprecated SAP Commerce extension.,Deprecated extensions in LocalExtensions,DeprecatedExtensionInLocalExtensions
"",/b2cretailstore/build/config-pre-dev/localextensions.xml,1,23,A local extensions file is referencing a deprecated SAP Commerce extension.,Deprecated extensions in LocalExtensions,DeprecatedExtensionInLocalExtensions
"",/b2cretailstore/build/config-pre-dev/localextensions.xml,1,28,A local extensions file is referencing a deprecated SAP Commerce extension.,Deprecated extensions in LocalExtensions,DeprecatedExtensionInLocalExtensions
"",/b2cretailstore/build/config-pre-dev/localextensions.xml,1,33,A local extensions file is referencing a deprecated SAP Commerce extension.,Deprecated extensions in LocalExtensions,DeprecatedExtensionInLocalExtensions
"",/b2cretailstore/build/config-pre-dev/localextensions.xml,1,34,A local extensions file is referencing a deprecated SAP Commerce extension.,Deprecated extensions in LocalExtensions,DeprecatedExtensionInLocalExtensions
"",/b2cretailstore/build/config-pre-dev/localextensions.xml,1,71,A local extensions file is referencing a deprecated SAP Commerce extension.,Deprecated extensions in LocalExtensions,DeprecatedExtensionInLocalExtensions
"",/b2cretailstore/build/config-qa/localextensions.xml,1,26,A local extensions file is referencing a deprecated SAP Commerce extension.,Deprecated extensions in LocalExtensions,DeprecatedExtensionInLocalExtensions
"",/b2cretailstore/build/config-qa/localextensions.xml,1,36,A local extensions file is referencing a deprecated SAP Commerce extension.,Deprecated extensions in LocalExtensions,DeprecatedExtensionInLocalExtensions
"",/b2cretailstore/build/config-qa/localextensions.xml,1,37,A local extensions file is referencing a deprecated SAP Commerce extension.,Deprecated extensions in LocalExtensions,DeprecatedExtensionInLocalExtensions
"",/b2cretailstore/build/config-qa/localextensions.xml,1,48,A local extensions file is referencing a deprecated SAP Commerce extension.,Deprecated extensions in LocalExtensions,DeprecatedExtensionInLocalExtensions
