Problem,Package,File,Priority,Line,Description,Rule set,Rule
"",,/b2cretailstore/bin/custom/b2cretailstorecockpits/resources/localization/b2cretailstorecockpits-locales_es_CO.properties,2,32,Property 'desktop.ui.experience.label.key' contains the key '.key' which seems to contains sensitive information,Commerce Incompatibilities,ValidateSensitiveKey
"",,/b2cretailstore/bin/custom/b2cretailstorecockpits/resources/localization/b2cretailstorecockpits-locales_es_CO.properties,2,33,Property 'mobile.ui.experience.label.key' contains the key '.key' which seems to contains sensitive information,Commerce Incompatibilities,ValidateSensitiveKey
"",,/b2cretailstore/bin/custom/b2cretailstorecockpits/resources/localization/b2cretailstorecockpits-locales_it.properties,2,32,Property 'desktop.ui.experience.label.key' contains the key '.key' which seems to contains sensitive information,Commerce Incompatibilities,ValidateSensitiveKey
"",,/b2cretailstore/bin/custom/b2cretailstorecockpits/resources/localization/b2cretailstorecockpits-locales_it.properties,2,33,Property 'mobile.ui.experience.label.key' contains the key '.key' which seems to contains sensitive information,Commerce Incompatibilities,ValidateSensitiveKey
"",,/b2cretailstore/bin/custom/clearsaleintegration/project.properties,2,18,Property 'clearsaleintegration.key' contains the key '.key' which seems to contains sensitive information,Commerce Incompatibilities,ValidateSensitiveKey
"",,/b2cretailstore/build/config-pre-dev/local.properties,1,7,Properties file contains a managed property 'db.url'.,Commerce Incompatibilities,ManagedPropertiesValidation
"",,/b2cretailstore/build/config-pre-dev/local.properties,1,8,Properties file contains a managed property 'db.driver'.,Commerce Incompatibilities,ManagedPropertiesValidation
"",,/b2cretailstore/build/config-pre-dev/local.properties,1,9,Properties file contains a managed property 'db.username'.,Commerce Incompatibilities,ManagedPropertiesValidation
"",,/b2cretailstore/build/config-pre-dev/local.properties,2,9,Property 'db.username' contains the key '.username' which seems to contains sensitive information,Commerce Incompatibilities,ValidateSensitiveKey
"",,/b2cretailstore/build/config-pre-dev/local.properties,2,9,Property 'db.username' contains the key '.user' which seems to contains sensitive information,Commerce Incompatibilities,ValidateSensitiveKey
"",,/b2cretailstore/build/config-pre-dev/local.properties,1,10,Properties file contains a managed property 'db.password'.,Commerce Incompatibilities,ManagedPropertiesValidation
"",,/b2cretailstore/build/config-pre-dev/local.properties,2,10,Property 'db.password' contains the key '.password' which seems to contains sensitive information,Commerce Incompatibilities,ValidateSensitiveKey
"",,/b2cretailstore/build/config-pre-dev/local.properties,1,19,Properties file contains a managed property 'tomcat.generaloptions'.,Commerce Incompatibilities,ManagedPropertiesValidation
"",,/b2cretailstore/build/config-pre-dev/local.properties,1,32,Properties file contains a managed property 'installed.tenants'.,Commerce Incompatibilities,ManagedPropertiesValidation
"",,/b2cretailstore/build/config-pre-dev/local.properties,2,87,Property 'c4c.credentials.pwd' contains the key '.pwd' which seems to contains sensitive information,Commerce Incompatibilities,ValidateSensitiveKey
"",,/b2cretailstore/build/config-pre-dev/local.properties,2,108,Property 'c4c.ticket.credentials.pwd' contains the key '.pwd' which seems to contains sensitive information,Commerce Incompatibilities,ValidateSensitiveKey
"",,/b2cretailstore/build/config-pre-dev/local.properties,2,139,Property 'c4c.order.credentials.pwd' contains the key '.pwd' which seems to contains sensitive information,Commerce Incompatibilities,ValidateSensitiveKey
"",,/b2cretailstore/build/config-pre-dev/local.properties,2,199,Property 'mail.smtp.user' contains the key '.user' which seems to contains sensitive information,Commerce Incompatibilities,ValidateSensitiveKey
"",,/b2cretailstore/build/config-pre-dev/local.properties,2,200,Property 'mail.smtp.password' contains the key '.password' which seems to contains sensitive information,Commerce Incompatibilities,ValidateSensitiveKey
"",,/b2cretailstore/build/config-pre-dev/local.properties,1,250,Properties file contains a managed property 'cms.cache.enabled'.,Commerce Incompatibilities,ManagedPropertiesValidation
"",,/b2cretailstore/bin/custom/b2cretailstorecockpits/resources/localization/b2cretailstorecockpits-locales_zh.properties,2,32,Property 'desktop.ui.experience.label.key' contains the key '.key' which seems to contains sensitive information,Commerce Incompatibilities,ValidateSensitiveKey
"",,/b2cretailstore/bin/custom/b2cretailstorecockpits/resources/localization/b2cretailstorecockpits-locales_zh.properties,2,33,Property 'mobile.ui.experience.label.key' contains the key '.key' which seems to contains sensitive information,Commerce Incompatibilities,ValidateSensitiveKey
"",,/b2cretailstore/bin/custom/b2cretailstorecockpits/resources/localization/b2cretailstorecockpits-locales_ko.properties,2,32,Property 'desktop.ui.experience.label.key' contains the key '.key' which seems to contains sensitive information,Commerce Incompatibilities,ValidateSensitiveKey
"",,/b2cretailstore/bin/custom/b2cretailstorecockpits/resources/localization/b2cretailstorecockpits-locales_ko.properties,2,33,Property 'mobile.ui.experience.label.key' contains the key '.key' which seems to contains sensitive information,Commerce Incompatibilities,ValidateSensitiveKey
"",,/b2cretailstore/bin/custom/b2cretailstorecockpits/resources/localization/b2cretailstorecockpits-locales_ru.properties,2,32,Property 'desktop.ui.experience.label.key' contains the key '.key' which seems to contains sensitive information,Commerce Incompatibilities,ValidateSensitiveKey
