Problem,Package,File,Priority,Line,Description,Rule set,Rule
"",,/b2cretailstore/bin/custom/partnerci/lib/jacocoant.jar,5,,Jar with filename jacocoant not found in maven central.,Third party libraries,JarVersionNotFoundInMavenCentral
"",,/b2cretailstore/bin/custom/botonpagointegration/lib/powermock-api-support-1.6.1.jar,2,,Newer jar version 2.0.9 found in maven central for jar powermock-api-support-1.6.1. Current version: 1.6.1,Third party libraries,NewerJarVersionInMavenCentral
"",,/b2cretailstore/bin/custom/b2cretailstorestorefront/web/webroot/WEB-INF/lib/json-taglib-0.4.1.jar,5,,Jar with name json-taglib-0.4.1 couldn't find the version in its manifest.,Third party libraries,JarVersionNotInJarManifest
"",,/b2cretailstore/bin/custom/partnerci/lib/sonarqube-ant-task-2.5.jar,5,,Jar with name sonarqube-ant-task-2.5 couldn't find the version in its manifest.,Third party libraries,JarVersionNotInJarManifest
"",,/b2cretailstore/bin/custom/partnerci/lib/jd-core.jar,5,,Jar with name jd-core couldn't find the version in its manifest.,Third party libraries,JarVersionNotInJarManifest
"",,/b2cretailstore/bin/custom/botonpagointegration/lib/powermock-module-junit4-1.6.1.jar,2,,Newer jar version 2.0.9 found in maven central for jar powermock-module-junit4-1.6.1. Current version: 1.6.1,Third party libraries,NewerJarVersionInMavenCentral
"",,/b2cretailstore/build/config-junit/licence/hybrislicence.jar,5,,Jar with name hybrislicence couldn't find the version in its manifest.,Third party libraries,JarVersionNotInJarManifest
"",,/b2cretailstore/bin/custom/botonpagointegration/lib/jackson-core-2.6.3.jar,2,,Newer jar version 2.15.2 found in maven central for jar jackson-core-2.6.3. Current version: 2.6.3,Third party libraries,NewerJarVersionInMavenCentral
"",,/b2cretailstore/build/config-pre-dev/licence/hybrislicence.jar,5,,Jar with name hybrislicence couldn't find the version in its manifest.,Third party libraries,JarVersionNotInJarManifest
"",,/b2cretailstore/build/config-integ/licence/hybrislicence.jar,5,,Jar with name hybrislicence couldn't find the version in its manifest.,Third party libraries,JarVersionNotInJarManifest
"",,/b2cretailstore/bin/custom/botonpagointegration/lib/powermock-api-mockito-1.6.1.jar,2,,Newer jar version 2.0.9 found in maven central for jar powermock-api-mockito-1.6.1. Current version: 1.6.1,Third party libraries,NewerJarVersionInMavenCentral
"",,/b2cretailstore/bin/custom/partnerci/lib/jacocoagent.jar,5,,Jar with filename jacocoagent not found in maven central.,Third party libraries,JarVersionNotFoundInMavenCentral
"",,/b2cretailstore/bin/custom/clearsaleintegration/lib/xstream-1.4.2.jar,5,,Jar with name xstream-1.4.2 couldn't find the version in its manifest.,Third party libraries,JarVersionNotInJarManifest
"",,/b2cretailstore/build/config-dev/licence/hybrislicence.jar,5,,Jar with name hybrislicence couldn't find the version in its manifest.,Third party libraries,JarVersionNotInJarManifest
"",,/b2cretailstore/bin/custom/botonpagointegration/lib/mockito-all-1.9.5.jar,2,,Newer jar version 2.0.2-beta found in maven central for jar mockito-all-1.9.5. Current version: 1.9.5,Third party libraries,NewerJarVersionInMavenCentral
"",,/b2cretailstore/bin/custom/b2cretailstorebackoffice/resources/backoffice/b2cretailstorebackoffice_bof.jar,5,,Jar with name b2cretailstorebackoffice_bof couldn't find the version in its manifest.,Third party libraries,JarVersionNotInJarManifest
"",,/b2cretailstore/bin/custom/botonpagointegration/lib/powermock-core-1.6.1.jar,2,,Newer jar version 2.0.9 found in maven central for jar powermock-core-1.6.1. Current version: 1.6.1,Third party libraries,NewerJarVersionInMavenCentral
"",,/b2cretailstore/bin/custom/botonpagointegration/lib/powermock-reflect-1.6.1.jar,2,,Newer jar version 2.0.9 found in maven central for jar powermock-reflect-1.6.1. Current version: 1.6.1,Third party libraries,NewerJarVersionInMavenCentral
"",,/b2cretailstore/bin/custom/b2cretailstorestorefront/web/webroot/WEB-INF/lib/wro4j-core-1.7.9.jar,2,,Newer jar version 2.0.0 found in maven central for jar wro4j-core-1.7.9. Current version: 1.7.9,Third party libraries,NewerJarVersionInMavenCentral
"",,/b2cretailstore/bin/custom/botonpagointegration/lib/jackson-annotations-2.6.3.jar,2,,Newer jar version 2.10.3.LIFERAY-PATCHED-1 found in maven central for jar jackson-annotations-2.6.3. Current version: 2.6.3,Third party libraries,NewerJarVersionInMavenCentral
"",,/b2cretailstore/bin/custom/b2cretailstorestorefront/web/webroot/WEB-INF/lib/rhino-1.7R4.jar,5,,Jar with filename rhino-1.7R4 not found in maven central.,Third party libraries,JarVersionNotFoundInMavenCentral
"",,/b2cretailstore/bin/custom/partnerci/lib/fakeSMTP-2.0.jar,5,,Jar with name fakeSMTP-2.0 couldn't find the version in its manifest.,Third party libraries,JarVersionNotInJarManifest
"",,/b2cretailstore/bin/custom/botonpagointegration/lib/jackson-databind-2.6.3.jar,2,,Newer jar version 2.10.5.1.LIFERAY-PATCHED-1 found in maven central for jar jackson-databind-2.6.3. Current version: 2.6.3,Third party libraries,NewerJarVersionInMavenCentral
"",,/b2cretailstore/bin/custom/botonpagointegration/lib/powermock-module-junit4-common-1.6.1.jar,2,,Newer jar version 2.0.9 found in maven central for jar powermock-module-junit4-common-1.6.1. Current version: 1.6.1,Third party libraries,NewerJarVersionInMavenCentral
