"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.partner.integration.botonpago.model.process","/b2cretailstore/bin/custom/botonpagointegration/src/com/partner/integration/botonpago/model/process/RequestPaymentTransaction.java","4","3","Unused import 'com.partner.integration.botonpago.util.PaymentGatewayUtil'","Code Style","UnnecessaryImport"
"2","com.partner.integration.botonpago.model.process","/b2cretailstore/bin/custom/botonpagointegration/src/com/partner/integration/botonpago/model/process/RequestPaymentTransaction.java","3","16","Avoid unnecessary constructors - the compiler will generate these for you","Code Style","UnnecessaryConstructor"
"1","com.partner.integration.botonpago.services","/b2cretailstore/bin/custom/botonpagointegration/src/com/partner/integration/botonpago/services/BotonPagoService.java","1","58","Final parameter in abstract method","Code Style","FinalParameterInAbstractMethod"
"1","com.partner.integration.botonpago.util","/b2cretailstore/bin/custom/botonpagointegration/src/com/partner/integration/botonpago/util/PaymentGatewayUtil.java","3","10","All methods are static.  Consider using a utility class instead. Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design","UseUtilityClass"
"2","com.partner.integration.botonpago.util","/b2cretailstore/bin/custom/botonpagointegration/src/com/partner/integration/botonpago/util/PaymentGatewayUtil.java","3","18","Consider simply returning the value vs storing it in local variable 'element'","Code Style","UnnecessaryLocalBeforeReturn"
"3","com.partner.integration.botonpago.util","/b2cretailstore/bin/custom/botonpagointegration/src/com/partner/integration/botonpago/util/PaymentGatewayUtil.java","3","28","Singleton is not thread safe","Multithreading","NonThreadSafeSingleton"
"4","com.partner.integration.botonpago.util","/b2cretailstore/bin/custom/botonpagointegration/src/com/partner/integration/botonpago/util/PaymentGatewayUtil.java","3","29","This statement should have braces","Code Style","ControlStatementBraces"
"1","com.partner.integration.botonpago.wrapper","/b2cretailstore/bin/custom/botonpagointegration/src/com/partner/integration/botonpago/wrapper/OrderWrapper.java","4","5","Unused import 'de.hybris.platform.commercefacades.order.data.OrderData'","Code Style","UnnecessaryImport"
"1","com.partner.integration.botonpago.constants","/b2cretailstore/bin/custom/botonpagointegration/src/com/partner/integration/botonpago/constants/ControllerConstants.java","3","13","Avoid constants in interfaces. Interfaces define types, constants are implementation details better placed in classes or enums. See Effective Java, item 19.","Best Practices","ConstantsInInterface"
"2","com.partner.integration.botonpago.constants","/b2cretailstore/bin/custom/botonpagointegration/src/com/partner/integration/botonpago/constants/ControllerConstants.java","3","13","Avoid constants in interfaces. Interfaces define types, constants are implementation details better placed in classes or enums. See Effective Java, item 19.","Best Practices","ConstantsInInterface"
"3","com.partner.integration.botonpago.constants","/b2cretailstore/bin/custom/botonpagointegration/src/com/partner/integration/botonpago/constants/ControllerConstants.java","3","13","Avoid constants in interfaces. Interfaces define types, constants are implementation details better placed in classes or enums. See Effective Java, item 19.","Best Practices","ConstantsInInterface"
"4","com.partner.integration.botonpago.constants","/b2cretailstore/bin/custom/botonpagointegration/src/com/partner/integration/botonpago/constants/ControllerConstants.java","3","13","Avoid constants in interfaces. Interfaces define types, constants are implementation details better placed in classes or enums. See Effective Java, item 19.","Best Practices","ConstantsInInterface"
"5","com.partner.integration.botonpago.constants","/b2cretailstore/bin/custom/botonpagointegration/src/com/partner/integration/botonpago/constants/ControllerConstants.java","3","14","Avoid constants in interfaces. Interfaces define types, constants are implementation details better placed in classes or enums. See Effective Java, item 19.","Best Practices","ConstantsInInterface"
"6","com.partner.integration.botonpago.constants","/b2cretailstore/bin/custom/botonpagointegration/src/com/partner/integration/botonpago/constants/ControllerConstants.java","3","14","Avoid constants in interfaces. Interfaces define types, constants are implementation details better placed in classes or enums. See Effective Java, item 19.","Best Practices","ConstantsInInterface"
"7","com.partner.integration.botonpago.constants","/b2cretailstore/bin/custom/botonpagointegration/src/com/partner/integration/botonpago/constants/ControllerConstants.java","3","14","Avoid constants in interfaces. Interfaces define types, constants are implementation details better placed in classes or enums. See Effective Java, item 19.","Best Practices","ConstantsInInterface"
"8","com.partner.integration.botonpago.constants","/b2cretailstore/bin/custom/botonpagointegration/src/com/partner/integration/botonpago/constants/ControllerConstants.java","3","14","Avoid constants in interfaces. Interfaces define types, constants are implementation details better placed in classes or enums. See Effective Java, item 19.","Best Practices","ConstantsInInterface"
"9","com.partner.integration.botonpago.constants","/b2cretailstore/bin/custom/botonpagointegration/src/com/partner/integration/botonpago/constants/ControllerConstants.java","3","15","Avoid constants in interfaces. Interfaces define types, constants are implementation details better placed in classes or enums. See Effective Java, item 19.","Best Practices","ConstantsInInterface"
"10","com.partner.integration.botonpago.constants","/b2cretailstore/bin/custom/botonpagointegration/src/com/partner/integration/botonpago/constants/ControllerConstants.java","3","15","Avoid constants in interfaces. Interfaces define types, constants are implementation details better placed in classes or enums. See Effective Java, item 19.","Best Practices","ConstantsInInterface"
"11","com.partner.integration.botonpago.constants","/b2cretailstore/bin/custom/botonpagointegration/src/com/partner/integration/botonpago/constants/ControllerConstants.java","3","15","Avoid constants in interfaces. Interfaces define types, constants are implementation details better placed in classes or enums. See Effective Java, item 19.","Best Practices","ConstantsInInterface"
"12","com.partner.integration.botonpago.constants","/b2cretailstore/bin/custom/botonpagointegration/src/com/partner/integration/botonpago/constants/ControllerConstants.java","3","15","Avoid constants in interfaces. Interfaces define types, constants are implementation details better placed in classes or enums. See Effective Java, item 19.","Best Practices","ConstantsInInterface"
"13","com.partner.integration.botonpago.constants","/b2cretailstore/bin/custom/botonpagointegration/src/com/partner/integration/botonpago/constants/ControllerConstants.java","3","16","Avoid constants in interfaces. Interfaces define types, constants are implementation details better placed in classes or enums. See Effective Java, item 19.","Best Practices","ConstantsInInterface"
"14","com.partner.integration.botonpago.constants","/b2cretailstore/bin/custom/botonpagointegration/src/com/partner/integration/botonpago/constants/ControllerConstants.java","3","16","Avoid constants in interfaces. Interfaces define types, constants are implementation details better placed in classes or enums. See Effective Java, item 19.","Best Practices","ConstantsInInterface"
"15","com.partner.integration.botonpago.constants","/b2cretailstore/bin/custom/botonpagointegration/src/com/partner/integration/botonpago/constants/ControllerConstants.java","3","16","Avoid constants in interfaces. Interfaces define types, constants are implementation details better placed in classes or enums. See Effective Java, item 19.","Best Practices","ConstantsInInterface"
"16","com.partner.integration.botonpago.constants","/b2cretailstore/bin/custom/botonpagointegration/src/com/partner/integration/botonpago/constants/ControllerConstants.java","3","16","Avoid constants in interfaces. Interfaces define types, constants are implementation details better placed in classes or enums. See Effective Java, item 19.","Best Practices","ConstantsInInterface"
"17","com.partner.integration.botonpago.constants","/b2cretailstore/bin/custom/botonpagointegration/src/com/partner/integration/botonpago/constants/ControllerConstants.java","3","17","Avoid constants in interfaces. Interfaces define types, constants are implementation details better placed in classes or enums. See Effective Java, item 19.","Best Practices","ConstantsInInterface"
