Problem,Package,File,Priority,Line,Description,Rule set,Rule
"",,/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorebackoffice/resources/backoffice/b2btechretailstorebackoffice_bof.jar,5,,Jar with name b2btechretailstorebackoffice_bof couldn't find the version in its manifest.,Third party libraries,JarVersionNotInJarManifest
"",,/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstoredealreg/lib/gson-2.8.2-SNAPSHOT.jar,5,,Jar with filename gson-2.8.2-SNAPSHOT not found in maven central.,Third party libraries,JarVersionNotFoundInMavenCentral
"",,/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/WEB-INF/lib/jersey-test-framework-core-1.13.jar,2,,Newer jar version 3.1.2 found in maven central for jar jersey-test-framework-core-1.13. Current version: 1.13,Third party libraries,NewerJarVersionInMavenCentral
"",,/b2btechretailstore/repository/hybris/bin/custom/ruleengine/b2btechretailstoreruleenginecommonsbackoffice/resources/backoffice/b2btechretailstoreruleenginecommonsbackoffice_bof.jar,5,,Jar with name b2btechretailstoreruleenginecommonsbackoffice_bof couldn't find the version in its manifest.,Third party libraries,JarVersionNotInJarManifest
"",,/b2btechretailstore/repository/hybris/config/dbdriver/oracle/ojdbc7.jar,2,,Newer jar version 14 found in maven central for jar ojdbc7. Current version: 12.1.0.2.0,Third party libraries,NewerJarVersionInMavenCentral
"",,/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/WEB-INF/lib/jersey-server-1.13.jar,2,,Newer jar version 3.1.2 found in maven central for jar jersey-server-1.13. Current version: 1.13,Third party libraries,NewerJarVersionInMavenCentral
"",,/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstoresapsyncdata/web/webroot/WEB-INF/lib/displaytag-1.2.jar,5,,Jar with name displaytag-1.2 couldn't find the version in its manifest.,Third party libraries,JarVersionNotInJarManifest
"",,/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/WEB-INF/lib/jersey-servlet-1.13.jar,2,,Newer jar version 6.0.0.RC2 found in maven central for jar jersey-servlet-1.13. Current version: 1.13,Third party libraries,NewerJarVersionInMavenCentral
"",,/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstoreproductservices/web/webroot/WEB-INF/lib/displaytag-1.2.jar,5,,Jar with name displaytag-1.2 couldn't find the version in its manifest.,Third party libraries,JarVersionNotInJarManifest
"",,/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/lib/kxml2-2.1.8.jar,5,,Jar with name kxml2-2.1.8 couldn't find the version in its manifest.,Third party libraries,JarVersionNotInJarManifest
"",,/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/WEB-INF/lib/jersey-core-1.13.jar,2,,Newer jar version 3.1.2 found in maven central for jar jersey-core-1.13. Current version: 1.13,Third party libraries,NewerJarVersionInMavenCentral
"",,/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/WEB-INF/lib/stax-utils-20070216.jar,5,,Jar with name stax-utils-20070216 couldn't find the version in its manifest.,Third party libraries,JarVersionNotInJarManifest
"",,/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecore/lib/poi-ooxml-3.17.jar,2,,Newer jar version 5.0.0 found in maven central for jar poi-ooxml-3.17. Current version: 3.17,Third party libraries,NewerJarVersionInMavenCentral
"",,/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorevendorbackoffice/resources/backoffice/b2btechretailstorevendorbackoffice_bof.jar,5,,Jar with name b2btechretailstorevendorbackoffice_bof couldn't find the version in its manifest.,Third party libraries,JarVersionNotInJarManifest
"",,/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstoresapsyncdata/lib/sapidoc3.jar,5,,Jar with filename sapidoc3 not found in maven central.,Third party libraries,JarVersionNotFoundInMavenCentral
"",,/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/WEB-INF/lib/java-property-utils-1.9.jar,2,,Newer jar version 1.17 found in maven central for jar java-property-utils-1.9. Current version: 1.9,Third party libraries,NewerJarVersionInMavenCentral
"",,/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/WEB-INF/lib/jersey-json-1.13.jar,2,,Newer jar version 1.20 found in maven central for jar jersey-json-1.13. Current version: 1.13,Third party libraries,NewerJarVersionInMavenCentral
"",,/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/lib/gson-2.8.2-SNAPSHOT.jar,5,,Jar with filename gson-2.8.2-SNAPSHOT not found in maven central.,Third party libraries,JarVersionNotFoundInMavenCentral
"",,/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecore/lib/tika-app-1.19.1.jar,2,,Newer jar version 2.8.0 found in maven central for jar tika-app-1.19.1. Current version: 1.19.1,Third party libraries,NewerJarVersionInMavenCentral
"",,/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/WEB-INF/lib/cors-filter-1.8.jar,2,,Newer jar version 2.10 found in maven central for jar cors-filter-1.8. Current version: 1.8,Third party libraries,NewerJarVersionInMavenCentral
"",,/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstoredealreg/web/webroot/WEB-INF/lib/displaytag-1.2.jar,5,,Jar with name displaytag-1.2 couldn't find the version in its manifest.,Third party libraries,JarVersionNotInJarManifest
