"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.b2btechretailstore.hybris.cockpits.importcockpit.dao.impl","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecore/src/com/b2btechretailstore/hybris/cockpits/importcockpit/dao/impl/Defaultb2btechretailstoreImportCockpitCronJobDao.java","1","57","String literal '' WHERE LOWER({ p.'' contains the 'STRING' function 'LOWER' which belongs to the database engine 'ORACLE'.","Database keyword java rule","DatabaseKeywordRule"
"1","com.b2btechretailstore.hybris.core.calculation.services.impl","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecore/src/com/b2btechretailstore/hybris/core/calculation/services/impl/DefaultLeadTimeRuleService.java","1","42","String literal ''Starting to process Lead Time rules for product {}'' contains the 'ANALYTICS' function 'LEAD' which belongs to the database engine 'ORACLE'.","Database keyword java rule","DatabaseKeywordRule"
"2","com.b2btechretailstore.hybris.core.calculation.services.impl","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecore/src/com/b2btechretailstore/hybris/core/calculation/services/impl/DefaultLeadTimeRuleService.java","1","51","String literal ''Updated plant {} to delivery lead time: {}'' contains the 'ANALYTICS' function 'LEAD' which belongs to the database engine 'ORACLE'.","Database keyword java rule","DatabaseKeywordRule"
"1","com.b2btechretailstore.hybris.core.audit","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecore/src/com/b2btechretailstore/hybris/core/audit/DataType.java","1","84","String literal ''Qualifier [%s] not found. Case insenitive resolution have found matching qualifier [%s]'' contains the 'ADVANCED' function 'CASE' which belongs to the database engine 'ORACLE'.","Database keyword java rule","DatabaseKeywordRule"
"1","com.b2btechretailstore.hybris.core.daos.impl","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecore/src/com/b2btechretailstore/hybris/core/daos/impl/DefaultOrgUnitSalesOrganizationDao.java","1","39","String literal ''SELECT COUNT(*) FROM {OrgUnitSalesOrganization} WHERE {salesOrg} =?salesOrg AND {purchaseOrg} =?purchaseOrg '' contains the 'NUMERICS' function 'COUNT' which belongs to the database engine 'ORACLE'.","Database keyword java rule","DatabaseKeywordRule"
"1","com.b2btechretailstore.hybris.core.daos.impl","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecore/src/com/b2btechretailstore/hybris/core/daos/impl/DefaultDeltaTypeDao.java","1","132","String literal '') WHERE ROWNUM <= ?'' contains the 'NUMERICS' function 'ROWNUM' which belongs to the database engine 'ORACLE'.","Database keyword java rule","DatabaseKeywordRule"
"1","com.b2btechretailstore.hybris.core.daos.impl","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecore/src/com/b2btechretailstore/hybris/core/daos/impl/DefaultVendorDAO.java","1","171","String literal ''AND ( UPPER({'' contains the 'STRING' function 'UPPER' which belongs to the database engine 'ORACLE'.","Database keyword java rule","DatabaseKeywordRule"
"2","com.b2btechretailstore.hybris.core.daos.impl","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecore/src/com/b2btechretailstore/hybris/core/daos/impl/DefaultVendorDAO.java","1","171","String literal ''}) = UPPER(?nameOrCode) OR '' contains the 'STRING' function 'UPPER' which belongs to the database engine 'ORACLE'.","Database keyword java rule","DatabaseKeywordRule"
"3","com.b2btechretailstore.hybris.core.daos.impl","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecore/src/com/b2btechretailstore/hybris/core/daos/impl/DefaultVendorDAO.java","1","188","String literal '' WHERE UPPER({ a.'' contains the 'STRING' function 'UPPER' which belongs to the database engine 'ORACLE'.","Database keyword java rule","DatabaseKeywordRule"
"4","com.b2btechretailstore.hybris.core.daos.impl","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecore/src/com/b2btechretailstore/hybris/core/daos/impl/DefaultVendorDAO.java","1","190","String literal ''}) = UPPER(?name) '' contains the 'STRING' function 'UPPER' which belongs to the database engine 'ORACLE'.","Database keyword java rule","DatabaseKeywordRule"
