"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.b2btechretailstore.hybris.cockpits.importcockpit.event","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecockpits/src/com/b2btechretailstore/hybris/cockpits/importcockpit/event/AfterImportCockpitCronJobTriggerVendorMergeEventListener.java","2","41","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"2","com.b2btechretailstore.hybris.cockpits.importcockpit.event","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecockpits/src/com/b2btechretailstore/hybris/cockpits/importcockpit/event/AfterImportCockpitCronJobTriggerVendorMergeEventListener.java","2","51","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"3","com.b2btechretailstore.hybris.cockpits.importcockpit.event","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecockpits/src/com/b2btechretailstore/hybris/cockpits/importcockpit/event/AfterImportCockpitCronJobTriggerVendorMergeEventListener.java","2","54","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"1","com.b2btechretailstore.hybris.cockpits.importcockpit.services.cronjob.impl","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecockpits/src/com/b2btechretailstore/hybris/cockpits/importcockpit/services/cronjob/impl/b2btechretailstoreImportCockpitCronJobService.java","2","29","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"2","com.b2btechretailstore.hybris.cockpits.importcockpit.services.cronjob.impl","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecockpits/src/com/b2btechretailstore/hybris/cockpits/importcockpit/services/cronjob/impl/b2btechretailstoreImportCockpitCronJobService.java","2","37","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"3","com.b2btechretailstore.hybris.cockpits.importcockpit.services.cronjob.impl","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecockpits/src/com/b2btechretailstore/hybris/cockpits/importcockpit/services/cronjob/impl/b2btechretailstoreImportCockpitCronJobService.java","2","56","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"1","com.b2btechretailstore.hybris.cockpits.importcockpit.services.label","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecockpits/src/com/b2btechretailstore/hybris/cockpits/importcockpit/services/label/b2btechretailstoreCatalogVersionLabelProvider.java","3","16","Avoid unnecessary constructors - the compiler will generate these for you","Code Style","UnnecessaryConstructor"
"2","com.b2btechretailstore.hybris.cockpits.importcockpit.services.label","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecockpits/src/com/b2btechretailstore/hybris/cockpits/importcockpit/services/label/b2btechretailstoreCatalogVersionLabelProvider.java","3","16","Document empty constructor","Documentation","UncommentedEmptyConstructor"
"1","com.b2btechretailstore.hybris.cockpits.util","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecockpits/src/com/b2btechretailstore/hybris/cockpits/util/GeneratorUtil.java","1","10","A class which only has private constructors should be final","Design","ClassWithOnlyPrivateConstructorsShouldBeFinal"
"1","com.b2btechretailstore.hybris.cockpits.importcockpit.session.impl","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecockpits/src/com/b2btechretailstore/hybris/cockpits/importcockpit/session/impl/b2btechretailstoreImportCockpitBrowserArea.java","2","42","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
