"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","","/b2btechretailstore/repository/hybris/env/common/customize/platform/ext/hac/web/webroot/static/js/home/index.js","2","58","The numeric literal '43200000' will have at different value at runtime.","Error Prone","InnaccurateNumericLiteral"
"2","","/b2btechretailstore/repository/hybris/env/common/customize/platform/ext/hac/web/webroot/static/js/home/index.js","1","60","Avoid using global variables","Best Practices","GlobalVariable"
"3","","/b2btechretailstore/repository/hybris/env/common/customize/platform/ext/hac/web/webroot/static/js/home/index.js","1","65","Avoid using global variables","Best Practices","GlobalVariable"
"4","","/b2btechretailstore/repository/hybris/env/common/customize/platform/ext/hac/web/webroot/static/js/home/index.js","1","79","Avoid using global variables","Best Practices","GlobalVariable"
"5","","/b2btechretailstore/repository/hybris/env/common/customize/platform/ext/hac/web/webroot/static/js/home/index.js","1","81","Avoid using global variables","Best Practices","GlobalVariable"
"6","","/b2btechretailstore/repository/hybris/env/common/customize/platform/ext/hac/web/webroot/static/js/home/index.js","1","103","Avoid using global variables","Best Practices","GlobalVariable"
"7","","/b2btechretailstore/repository/hybris/env/common/customize/platform/ext/hac/web/webroot/static/js/home/index.js","2","111","The numeric literal '43200000' will have at different value at runtime.","Error Prone","InnaccurateNumericLiteral"
"8","","/b2btechretailstore/repository/hybris/env/common/customize/platform/ext/hac/web/webroot/static/js/home/index.js","2","121","The numeric literal '86400000' will have at different value at runtime.","Error Prone","InnaccurateNumericLiteral"
"9","","/b2btechretailstore/repository/hybris/env/common/customize/platform/ext/hac/web/webroot/static/js/home/index.js","2","136","The numeric literal '43200000' will have at different value at runtime.","Error Prone","InnaccurateNumericLiteral"
"10","","/b2btechretailstore/repository/hybris/env/common/customize/platform/ext/hac/web/webroot/static/js/home/index.js","1","138","Avoid using global variables","Best Practices","GlobalVariable"
"11","","/b2btechretailstore/repository/hybris/env/common/customize/platform/ext/hac/web/webroot/static/js/home/index.js","1","143","Avoid using global variables","Best Practices","GlobalVariable"
"12","","/b2btechretailstore/repository/hybris/env/common/customize/platform/ext/hac/web/webroot/static/js/home/index.js","1","156","The for-in loop variable 'pos' should be explicitly scoped with var to avoid pollution.","Best Practices","ScopeForInVariable"
"13","","/b2btechretailstore/repository/hybris/env/common/customize/platform/ext/hac/web/webroot/static/js/home/index.js","1","205","Avoid using global variables","Best Practices","GlobalVariable"
"14","","/b2btechretailstore/repository/hybris/env/common/customize/platform/ext/hac/web/webroot/static/js/home/index.js","2","237","A function should not mix return statements with and without a result.","Best Practices","ConsistentReturn"
"15","","/b2btechretailstore/repository/hybris/env/common/customize/platform/ext/hac/web/webroot/static/js/home/index.js","2","269","The numeric literal '172800000' will have at different value at runtime.","Error Prone","InnaccurateNumericLiteral"
